symbol,date,month,year,open,close,low,high,volume,return,daily_return,cum_return,sector
ADANIENT,2023-10-03 05:30:00,2023-10,2023,2418.0,2387.25,2372.0,2424.9,2019899,-0.01271712158808933,,,MISCELLANEOUS
ADANIENT,2023-10-04 05:30:00,2023-10,2023,2402.2,2464.95,2392.25,2502.75,2857377,0.026121888269086672,0.03254791077599739,1.0325479107759974,MISCELLANEOUS
ADANIENT,2023-10-05 05:30:00,2023-10,2023,2477.95,2466.35,2446.4,2486.5,1132455,-0.004681288968703933,0.0005679628390029556,1.0331343596188083,MISCELLANEOUS
ADANIENT,2023-10-06 05:30:00,2023-10,2023,2466.35,2478.1,2466.05,2514.95,1510035,0.004764125124171346,0.004764125124171237,1.0380563409781127,MISCELLANEOUS
ADANIENT,2023-10-09 05:30:00,2023-10,2023,2440.0,2442.6,2411.3,2459.7,1408224,0.001065573770491766,-0.014325491303821436,1.023185673892554,MISCELLANEOUS
ADANIENT,2023-10-10 05:30:00,2023-10,2023,2443.0,2498.3,2443.0,2517.95,1771910,0.022636103151862538,0.022803569966429293,1.046517959995811,MISCELLANEOUS
ADANIENT,2023-10-11 05:30:00,2023-10,2023,2533.9,2488.6,2482.5,2538.0,1627836,-0.017877580014996716,-0.0038826401953329093,1.0424547072991934,MISCELLANEOUS
ADANIENT,2023-10-12 05:30:00,2023-10,2023,2499.9,2506.35,2490.65,2521.75,1804818,0.0025801032041280923,0.007132524310857535,1.049890040841973,MISCELLANEOUS
ADANIENT,2023-10-13 05:30:00,2023-10,2023,2488.9,2454.55,2422.35,2495.0,2278682,-0.013801277672867495,-0.020667504538472214,1.0281914336579747,MISCELLANEOUS
ADANIENT,2023-10-16 05:30:00,2023-10,2023,2454.55,2429.35,2421.85,2464.7,803856,-0.010266647654356306,-0.010266647654356253,1.0176353544873808,MISCELLANEOUS
ADANIENT,2023-10-17 05:30:00,2023-10,2023,2459.95,2428.4,2423.5,2462.0,707543,-0.012825463932193634,-0.00039105110420478706,1.0172374070583308,MISCELLANEOUS
ADANIENT,2023-10-18 05:30:00,2023-10,2023,2440.0,2406.35,2401.05,2441.75,776977,-0.013790983606557415,-0.009080052709603104,1.0080008377840612,MISCELLANEOUS
ADANIENT,2023-10-19 05:30:00,2023-10,2023,2400.0,2402.2,2382.55,2414.7,1168822,0.0009166666666665909,-0.0017246036528352215,1.006262435857158,MISCELLANEOUS
ADANIENT,2023-10-20 05:30:00,2023-10,2023,2398.05,2393.75,2382.05,2443.95,1240350,-0.0017931235795751472,-0.0035176088585462395,1.0027227981987645,MISCELLANEOUS
ADANIENT,2023-10-23 05:30:00,2023-10,2023,2397.8,2308.65,2301.8,2412.35,1483549,-0.03717991492201188,-0.035550913838120035,0.9670750863964817,MISCELLANEOUS
ADANIENT,2023-10-25 05:30:00,2023-10,2023,2320.0,2257.0,2235.3,2348.05,1540819,-0.027155172413793102,-0.022372382128083568,0.9454393130170702,MISCELLANEOUS
ADANIENT,2023-10-26 05:30:00,2023-10,2023,2249.0,2203.2,2167.05,2249.0,2226073,-0.0203646064917742,-0.023836951705804243,0.9229029217719136,MISCELLANEOUS
